1	2394	民博はめちゃくちゃ内容濃くて楽しい	Minpaku has such cool content and it was fun
2	2394	19:00 飛田新地 ひたすらエロい楽しい	19:00 Tobita Shinchi There was all of this crazy adult entertainment there.
3	2394	21:00 串カツ横綱 うまい！	21:00 Kushikatsu Yokozuna, delicious!
4	2394	22:00 道頓堀  1日目も昼に行ったけど夜行くと雰囲気がすげえ大阪、飲み屋入りたかったが見てるだけでも楽しい      さっきも言ったけど大阪旅行終わりめちゃくちゃ楽しかった！	22:00 Dotonbori I went there on the first day around noon but Osaka has such a great atmosphere at night, wanted to check out the bars but it was fun just looking at them, I said it before but my trip to Osaka is over, it was so much fun!
5	2394	見てくれた人ありがとう！	Thanks to everybody who was watching!
6	1827	ドラクエのスマホアプリ版もそうなんだけど、あれも物凄くギラギラしたドット絵で目が痛いし、  もうスクエニかまたは日本には既に雰囲気の出せるドット絵職人は絶滅したんだと思ってる...。	The same as Drakue smartphone app version, it’s super shiny bitmap pictures and it hurts my eyes, I think flavorful bitmap creators have been extinguished in SQEX or Japan……
7	713	だと誤解すると今の安倍信者の行動原理は何も理解できないと思う	If you misunderstand it like that, you wouldn't understand the behavioral principle of Abe believers at all.
8	20162	渋谷人多すぎよね  やさしえ〜。	Too many people in Shibuya, Yasashie~
9	20162	行くときあったら連絡する。	I will let you know when I go.
10	20162	どうせなら女の子と行きたいけど。	I’d rather go there with a girl.
11	2520	訛りが焼きたてジャぱんとかカブトボーグに出てくる外人っぽい	The accent sounds like foreigners on Yakitate Japan or Kabutoborg.
12	440	死語にシコられ対象になるのはちょっと...	I don't want people to have sexual fantasies about me when I'm dead.
13	1571	どっかのインフレRPGにありそうな倍率だけど   リアルでジンバブエ化しそうだと   シャレにならないね[](#b3)	The pass rate looks similar to some inflation RPG, it’s no joke if Zimbabuwenized for real.
14	182	ノーベル永久機関賞を百田尚樹とヤフー知恵袋に！	Nobel perpetual motion machine award to Naoki Hyakuta and Yahoo Chiebukuro!
15	12602	また髪の話(´・ω・`)	Talking about Hair again(´・ω・`)
16	20325	> COBOL を扱える者は１人又は２人に過ぎなかった  > COBOLで書かれた特殊なプログラムなので高齢者しか読めず	> Only one or two people can handle COBOL >It’s a special program written in COBOL, so only elderly people can read it
17	2404	串カツ 横綱   ほかの串カツの店行ってないから比較できないけどうまかった！	Kushikatsu Yokozuna, I didn't go to the other Kushikatsu restaurants so I can't compare with them but it was delicious!
18	2404	あとラストオーダー30分前に入ったのと1人だったからか店員さんが無愛想だったのは寂しかった。	Maybe because I went there 30 minutes before last order and I was by myself, the staff was unfriendly and it was sad.
19	2404	ごめんね次は2人以上で行くから、、、	I’m sorry, I will go there with other people next time….
20	2118	ジャスコオマ国なん	Is Just Cause 3 GEO blocked?
21	2085	じゃあ俺は梅村バイソン	Then I am Bison Umemura
22	314	は、はい！	Ahhh yes!
23	2467	あー悪口！	Ahhh trash talk!
24	2467	あーあー！	Ahhh Ahhh!
25	298	やくがいこつそしょうしょうそしょうしょうそ	Won lawsuit on the drug‐induced osteoporosis sufferings
26	463	本当？	Really?
27	1566	最近はボランティアランナーみたいな感じで医者に声かけて走ってもらってるみたい	It seems they ask doctors to run together as volunteer runners nowadays.
28	20148	人多い……つらい……  ぼく旅行で行く温泉と食べ物好き……別府なら行ったことあるんだけどなぁ	Too many people….tough….I like hot springs and foods when I travel……I’ve been to Beppu
29	1106	フロスしてる？	Are you flossing your teeth?
30	1241	7年前が何故ハイジ...	why is it Heidi seven years ago...
31	1747	人間思念の総合体君「そうだそうだ」  地球意志君「おれだって負けないぞ」	Whole human thought-form “Yes, Agreed!” Intention of the Earth “I will beat you”
32	1934	ポリコレフィールド5は値下げなしか	No discount for PC field 5?
33	2055	GOGみたいにDRMフリーとか明確な利点が無い以上、わざわざDRM増やす気にはならんわな。	When there aren't any clear benefits like GOG’s DRM free, nobody wants to increase DRMs.
34	20141	別府いいね〜去年末行ったわ。	Beppu sounds good~ I went there last year.
35	20141	福岡くらいまで都会度が下がると浮いたファッションしてる人の割合はグンと落ちるから、居るけど少ないっていうのがいいのかも。	When urban degree is as low as Fukuoka, ratio of striking fashion decrease dramatically, but maybe it’s nice because still there are some.
36	20141	吹奏楽部の後輩の子がいつのまにかまったくそれになってた。	One of my friends who is in the brass band at school became exactly that.
37	828	今頭痛くて気分悪いから	I have a headache and I'm sick.
38	1939	ここで俺渾身のライムを披露させてほしい	Let me show you a rhyme that I made from the bottom of my heart
39	79	だまれじじい！	Shut up old fart!
40	79	日本の伝統に異議とか反日か？	An objection to a Japanese tradition? Are you anti-Japanese?
41	2062	大衆主義に汚染された悪魔どもめ！	You devils contaminated by popularism!
42	145	煮え切らないというか4島前提の欲丸出しすぎてご破算になっただけやん	It’s not because of indecisiveness, just being too greedy to want all 4 islands and now the negotiation broke down.
43	1666	ただの写実でもなく、花みたいな文様をデザインとしてゴリゴリ入れていくあたり   いかにも女性のワザって感じだ。	This really feels like a feminine technique as it’s not just simple realism but rather aggressively adding floral patterns.
44	1927	されても困るのだが？	We prefer you don't?
45	339	上級国民は外貨に両替できる円を持ち  一般国民には税金の支払いしかできない円天で賃金をお支払い  こうですか？	Upper class populations have Yen exchangeable to foreign currencies, general populations get paid with virtual-currency which can only be used to pay taxes, is this what you are saying?
46	17767	おいおい反日野郎は永眠させられるぞ	Come on, anti-Japan dudes would be put to sleep eternally.
47	20205	30代でちゃんとシャンプーしてて仕事してるとモテ期が来るらしいからそれまでにはCTOジゴロですわ。	If you are shampooing properly and have a job in your 30s, you'll eventually be popular with the girls so just stay a CTO gigolo until then.
48	20156	オフィスが幡ヶ谷にあって出張の時は渋谷よく通るよ！	My office is in Hatagaya so I pass Shibuya often when I have a business trip.
49	20156	人多いね  してしてー。	A bunch of people. Please do it!
50	20156	温泉と食べ物好きな子だったら楽しめる！	I have fun with girls who like hot springs and food.
51	665	(つ ･ω･)つ許す！	(つ ･ω･)つ I Approve!
52	245	鶴瓶麦茶を見習え  あれどこまで大きくなるのか...	Learn from wheat tea of Tsurubei’s ad, I wonder how big is it going to get…
53	52	玉留めめんどくさいから近い二ヶ所通した糸同士で適当に結んでるわ	I'm too lazy to make a French knot so I just tie 2 strings that are threaded through close to each other.
54	1493	あかんて	Not.
